open_time,datetime,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1769734800000,2026-01-30 01:00:00,84192.00000000,84192.01000000,81118.00000000,82468.02000000,6080.28823000,1769738399999,501827611.84844880,730326,2320.55154000,191250439.74026650
1769738400000,2026-01-30 02:00:00,82468.01000000,82535.89000000,81154.00000000,82164.88000000,3963.98084000,1769741999999,324465120.79032560,728018,1605.82573000,131438091.88886430
1769742000000,2026-01-30 03:00:00,82164.88000000,82738.89000000,82036.35000000,82676.43000000,1470.66915000,1769745599999,121099969.44934130,281534,656.08506000,54036672.30138540
1769745600000,2026-01-30 04:00:00,82676.42000000,83332.20000000,82676.42000000,82938.92000000,1147.37787000,1769749199999,95245959.71548910,206977,571.58317000,47445368.11115500
1769749200000,2026-01-30 05:00:00,82938.92000000,83329.36000000,82903.23000000,82914.19000000,818.20759000,1769752799999,67997774.51187390,157432,380.67497000,31633055.79387780
1769752800000,2026-01-30 06:00:00,82914.20000000,82919.21000000,82056.08000000,82602.81000000,1199.37024000,1769756399999,99063064.60707440,258558,478.05819000,39487080.50405480
1769756400000,2026-01-30 07:00:00,82602.81000000,83100.00000000,82483.27000000,82816.98000000,1624.46252000,1769759999999,134405059.21157710,255287,1071.85178000,88687959.33583760
1769760000000,2026-01-30 08:00:00,82816.98000000,82995.41000000,82438.80000000,82671.70000000,959.74241000,1769763599999,79380727.22625540,213661,617.57305000,51088581.02515810
1769763600000,2026-01-30 09:00:00,82671.70000000,82834.19000000,82160.00000000,82363.72000000,1026.26025000,1769767199999,84642791.51245610,265314,544.98400000,44959418.81636710
1769767200000,2026-01-30 10:00:00,82363.71000000,82897.41000000,82172.02000000,82833.92000000,661.39040000,1769770799999,54587859.50494290,227004,393.09081000,32447168.51533560
1769770800000,2026-01-30 11:00:00,82833.92000000,83314.85000000,82682.15000000,83151.36000000,607.68303000,1769774399999,50393061.82519820,181536,364.56770000,30234690.54596030
1769774400000,2026-01-30 12:00:00,83151.36000000,83329.35000000,82650.00000000,82800.50000000,693.01620000,1769777999999,57454381.42567390,189580,327.88671000,27180039.27753350
1769778000000,2026-01-30 13:00:00,82800.49000000,83087.34000000,82421.64000000,82740.92000000,760.57185000,1769781599999,62923812.71351690,260033,412.15499000,34102923.81194300
1769781600000,2026-01-30 14:00:00,82740.93000000,83797.99000000,82738.68000000,83098.00000000,1785.40114000,1769785199999,148576592.00735490,560365,1000.83665000,83296212.27937790
1769785200000,2026-01-30 15:00:00,83098.00000000,83616.46000000,82382.01000000,82883.94000000,1512.89136000,1769788799999,125728110.90640150,716661,748.05031000,62192927.16063680
1769788800000,2026-01-30 16:00:00,82882.84000000,83493.60000000,82549.35000000,83149.00000000,956.54558000,1769792399999,79451323.26581620,531783,420.68817000,34950196.35375920
1769792400000,2026-01-30 17:00:00,83149.00000000,83475.80000000,82641.60000000,82943.23000000,1094.09504000,1769795999999,90878216.45949510,535245,551.45699000,45814508.98293510
1769796000000,2026-01-30 18:00:00,82943.23000000,84160.00000000,81871.37000000,83931.13000000,2213.77003000,1769799599999,183445167.70663590,777890,1051.02981000,87201914.24142130
1769799600000,2026-01-30 19:00:00,83931.13000000,84621.16000000,83917.36000000,84242.99000000,1851.84536000,1769803199999,156092177.82937660,627150,939.83278000,79226169.44107030
1769803200000,2026-01-30 20:00:00,84243.00000000,84299.99000000,83539.20000000,83906.34000000,2390.62988000,1769806799999,200668721.91086200,642136,1194.25504000,100266904.89584750
1769806800000,2026-01-30 21:00:00,83906.34000000,84523.11000000,83790.44000000,84273.70000000,835.94444000,1769810399999,70417008.99652360,253269,468.13365000,39440995.01189800
1769810400000,2026-01-30 22:00:00,84273.71000000,84327.06000000,83918.42000000,84219.99000000,454.50219000,1769813999999,38214283.13695800,167317,196.83717000,16550130.55760520
